adminID;DB_operator_code;DB_operator_name;DB_subnet_name;custom_short_name;custom_long_name;comment
hof004;DPN;Nahreisezug;;HofBus;HofBus GmbH;
hvv001;DPN;Nahreisezug;;;;
hvvDAH;DPN;Nahreisezug;;;;
hvvHAD;DPN;Nahreisezug;;;;
hvvHHA;DPN;Nahreisezug;;;;
hvvHOX;DPN;Nahreisezug;;;;
hvvKVI;DPN;Nahreisezug;;;;
hvvLIZ;DPN;Nahreisezug;;;;
hvvRAO;DPN;Nahreisezug;;;;
hvvRMV;DPN;Nahreisezug;;;;
hvvVHH;DPN;Nahreisezug;;;;
hvvVLP;DPN;Nahreisezug;;;;
invBus;DPN;Nahreisezug;;;;
K4;HLB;HLB Hessenbahn GmbH;;;;
K4RB;HLB;HLB Hessenbahn GmbH;Hessische Landesbahn (RB);;;
K4RE;HLB;HLB Hessenbahn GmbH;Hessische Landesbahn (RE);Hessische Landesbahn;Hessische Landesbahn GmbH;RE34,
K6;AVG;Albtal-Verkehrs-Gesellschaft mbH;;;;
KD;KD;Köln-Düsseldorfer Deutsche Rheinschifffahrt GmbH;;;;
kis001;DPN;Nahreisezug;;;;
kolbus;DPN;Nahreisezug;;;;
kraBus;DPN;Nahreisezug;;;;
krgBus;DPN;Nahreisezug;;;;
kulBus;DPN;Nahreisezug;;;;
kvg001;DPN;Nahreisezug;;;;
kvv002;DPN;Nahreisezug;;;;
kvv003;DPN;Nahreisezug;;;;
kvv004;DPN;Nahreisezug;;;;
kvv006;DPN;Nahreisezug;;;;
kvv010;DPN;Nahreisezug;;;;
kvv011;DPN;Nahreisezug;;;;
kvv012;DPN;Nahreisezug;;;;
kvv015;DPN;Nahreisezug;;;;
kvv017;DPN;Nahreisezug;;;;
kvv021;DPN;Nahreisezug;;;;
kvv023;DPN;Nahreisezug;;;;
kvv024;DPN;Nahreisezug;;;;
